0000000001,0000000000,065535,014158,018596,039629,023357,037416
0000000002,0000001000,064759,023353,010107,039593,024220,036536
0000000003,0000002000,060877,033499,003782,039206,025186,035864
0000000004,0000003000,054198,043610,000302,038498,026164,035469
0000000005,0000004000,045460,052621,000000,037546,027050,035392
0000000006,0000005000,035465,059713,002896,036440,027761,035639
0000000007,0000006000,025199,064164,008725,035286,028228,036187
0000000008,0000007000,015696,065528,016899,034202,028402,036981
0000000009,0000008000,007836,063708,026631,033289,028271,037944
0000000010,0000009000,002440,058836,036963,032640,027843,038982
0000000011,0000010000,000000,051429,046881,032317,027163,039993
0000000012,0000011000,000769,042188,055422,032351,026296,040878
0000000013,0000012000,004676,032023,061741,032741,025327,041551
0000000014,0000013000,011322,021940,065227,033446,024352,041946
0000000015,0000014000,020079,012904,065535,034399,023465,042023
0000000016,0000015000,030067,005824,062634,035506,022754,041776
0000000017,0000016000,040327,001373,056811,036658,022288,041229
0000000018,0000017000,049844,000000,048633,037744,022112,040435
0000000019,0000018000,057688,001833,038903,038655,022244,039472
0000000020,0000019000,063096,006692,028572,039305,022671,038434
0000000021,0000020000,065530,014107,018652,039628,023352,037423
0000000022,0000021000,064762,023345,010113,039593,024219,036537
0000000023,0000022000,060858,033509,003792,039204,025187,035864
0000000024,0000023000,054206,043597,000307,038499,026163,035470
0000000025,0000024000,045455,052626,000000,037546,027050,035392
0000000026,0000025000,035462,059712,002900,036439,027761,035639
0000000027,0000026000,025206,064158,008723,035287,028227,036187
0000000028,0000027000,015687,065535,016901,034201,028403,036981
0000000029,0000028000,007844,063700,026631,033289,028271,037944
0000000030,0000029000,002437,058841,036962,032640,027843,038982
0000000031,0000030000,000001,051427,046882,032317,027163,039993
0000000032,0000031000,000771,042188,055421,032352,026296,040878
0000000033,0000032000,004673,032026,061742,032741,025327,041551
0000000034,0000033000,011326,021936,065226,033446,024352,041946
0000000035,0000034000,020075,012908,065534,034399,023465,042023
0000000036,0000035000,030070,005822,062634,035506,022754,041776
0000000037,0000036000,040325,001375,056810,036658,022288,041229
0000000038,0000037000,049843,000000,048633,037744,022112,040435
0000000039,0000038000,057688,001833,038903,038656,022244,039472
0000000040,0000039000,063094,006693,028572,039305,022672,038434
0000000041,0000040000,065531,014106,018652,039628,023352,037423
0000000042,0000041000,064760,023347,010113,039593,024219,036537
0000000043,0000042000,060859,033507,003792,039204,025187,035864
0000000044,0000043000,054205,043598,000307,038499,026163,035470
0000000045,0000044000,045456,052625,000000,037546,027050,035392
0000000046,0000045000,035462,059712,002900,036439,027761,035639
0000000047,0000046000,025206,064158,008724,035287,028227,036187
0000000048,0000047000,015689,065533,016900,034201,028403,036981
0000000049,0000048000,007843,063701,026631,033289,028271,037944
0000000050,0000049000,002438,058840,036962,032640,027843,038982
0000000051,0000050000,000000,051428,046882,032317,027163,039993
0000000052,0000051000,000772,042187,055420,032352,026296,040878
0000000053,0000052000,004673,032027,061741,032741,025327,041551
0000000054,0000053000,011326,021936,065226,033446,024352,041946
0000000055,0000054000,020076,012908,065534,034399,023465,042023
0000000056,0000055000,030069,005823,062634,035506,022754,041776
0000000057,0000056000,040326,001375,056810,036658,022288,041229
0000000058,0000057000,049842,000001,048633,037744,022112,040435
0000000059,0000058000,057688,001832,038903,038656,022244,039472
0000000060,0000059000,063093,006694,028572,039305,022672,038434
0000000061,0000060000,065531,014105,018652,039628,023352,037423
0000000062,0000061000,064760,023346,010114,039593,024219,036537
0000000063,0000062000,060859,033507,003793,039204,025187,035864
0000000064,0000063000,054206,043597,000308,038499,026163,035470
0000000065,0000064000,045456,052625,000000,037546,027050,035392
0000000066,0000065000,035463,059711,002900,036439,027761,035639
0000000067,0000066000,025206,064159,008723,035287,028227,036187
0000000068,0000067000,015689,065533,016900,034201,028403,036981
0000000069,0000068000,007843,063701,026630,033289,028271,037944
0000000070,0000069000,002439,058840,036961,032640,027843,038982
0000000071,0000070000,000001,051428,046881,032317,027163,039993
0000000072,0000071000,000772,042187,055420,032352,026296,040878
0000000073,0000072000,004673,032027,061741,032741,025327,041551
0000000074,0000073000,011326,021937,065226,033446,024352,041946
0000000075,0000074000,020076,012908,065533,034399,023465,042023
0000000076,0000075000,030069,005823,062634,035506,022754,041776
0000000077,0000076000,040326,001375,056810,036658,022288,041229
0000000078,0000077000,049842,000001,048633,037743,022112,040435
0000000079,0000078000,057688,001833,038903,038655,022244,039472
0000000080,0000079000,063093,006694,028573,039305,022672,038434
0000000081,0000080000,065531,014106,018652,039628,023352,037423
0000000082,0000081000,064760,023346,010114,039593,024219,036537
0000000083,0000082000,060859,033507,003793,039204,025187,035864
0000000084,0000083000,054206,043597,000308,038499,026163,035470
0000000085,0000084000,045456,052625,000000,037546,027050,035392
0000000086,0000085000,035463,059711,002900,036439,027761,035639
0000000087,0000086000,025206,064158,008723,035287,028227,036187
0000000088,0000087000,015689,065533,016900,034201,028403,036981
0000000089,0000088000,007844,063701,026630,033290,028271,037944
